"Model Identifier","Model Name"
"Mac16,12","MacBook Air (13‑inch, M4, 2025)"
"Mac16,13","MacBook Air (15‑inch, M4, 2025)"
"Mac16,2","iMac (24‑inch, M4, 2024)"
"Mac16,3","iMac (24‑inch, M4, 2024)"
"Mac16,5","MacBook Pro (16‑inch, November 2024) — M4 Max"
"Mac16,6","MacBook Pro (14‑inch, November 2024) — M4 Max"
"Mac16,7","MacBook Pro (16‑inch, November 2024) — M4 Pro"
"Mac16,8","MacBook Pro (14‑inch, November 2024) — M4 Pro"
"MacBookAir3,1","MacBook Air (11‑inch, 2010)"
"MacBookAir3,2","MacBook Air (13‑inch, 2010)"
"MacBookAir4,1","MacBook Air (11‑inch, 2011)"
"MacBookAir4,2","MacBook Air (13‑inch, 2011)"
"MacBookAir5,2","MacBook Air (13‑inch, mid‑2012)"
"MacBookAir6,2","MacBook Air (13‑inch, 2013–2014)"
"MacBookAir7,2","MacBook Air (13‑inch, 2015–2017)"
"MacBookAir8,1","MacBook Air Retina (13‑inch, 2018)"
"MacBookAir8,2","MacBook Air Retina (13‑inch, 2019)"
"MacBookAir9,1","MacBook Air (Retina, 13‑inch, 2020)"
"MacBookPro10,2","MacBook Pro (13‑inch Retina, 2012)"
"MacBookPro11,1","MacBook Pro (13‑inch Retina, 2013–2014)"
"MacBookPro12,1","MacBook Pro (13‑inch Retina, 2015)"
"MacBookPro13,2","MacBook Pro (13‑inch, 2016)"
"MacBookPro14,2","MacBook Pro (13‑inch, 2017)"
"MacBookPro15,2","MacBook Pro (13‑inch, 2018–2019)"
"MacBookPro16,2","MacBook Pro (13‑inch, 2020)"
"MacBookPro17,1","MacBook Pro (13‑inch, 2020)"
"MacBookPro7,1","MacBook Pro (13‑inch, 2010)"
"MacBookPro8,1","MacBook Pro (13‑inch, 2011)"
"MacBookPro9,2","MacBook Pro (13‑inch, 2012)"
"Macmini7,1","Mac mini (Mid‑2014)"
"Macmini8,1","Mac mini (2018)"
"Macmini9,1","Mac mini (M1, 2020)"
"MacPro5,1","Mac Pro (Mid‑2010 / Mid‑2012)"
"Pencil1,1","Apple Pencil (1st generation)"
"Pencil2,1","Apple Pencil (2nd generation)"
"VisionPro1,1","Apple Vision Pro (1st generation)"
"Watch1,1","Apple Watch (1st generation)"
"Watch2,6","Apple Watch Series 1"
"Watch2,7","Apple Watch Series 1 (42mm)"
"Watch3,1","Apple Watch Series 3 (GPS + Cellular, 38mm)"
"Watch4,1","Apple Watch Series 4 (GPS, 40mm)"
"Watch5,1","Apple Watch Series 5 (GPS, 40mm)"
"Watch6,1","Apple Watch Series 6 (GPS, 40mm)"
"Watch6,6","Apple Watch Series 6 (GPS + Cellular, 44mm)"
"Watch7,1","Apple Watch Series 7 (41mm)"
"Watch7,3","Apple Watch Series 7 (45mm)"
