"Model Identifier","Model Name"
"iBridge2,6","T2 (MacPro7,1)"
"iBridge2,7","T2 (MacBookPro15,3)"
"iBridge2,8","T2 (MacBookAir8,1)"
"iMac,1","iMac (Revision A) OR iMac (Revision B) OR iMac (1999)"
"iMac10,1","iMac (21.5-inch, Late 2009) OR iMac (27-inch, Late 2009, Core 2 Duo)"
"iMac11,1","iMac (27-inch, Late 2009, Core i5/i7)"
"iMac11,2","iMac (21.5-inch, Mid 2010)"
"iMac11,3","iMac (27-inch, Mid 2010)"
"iMac12,1","iMac (21.5-inch, Late 2011) OR iMac (21.5-inch, Mid 2011)"
"iMac12,2","iMac (27-inch, Mid 2011)"
"iMac13,1","iMac (21.5-inch, Late 2012)"
"iMac13,2","iMac (27-inch, Late 2012)"
"iMac13,3","iMac (21.5-inch, Early 2013)"
"iMac14,1","iMac (21.5-inch, Late 2013, Integrated Graphics)"
"iMac14,2","iMac (27-inch, Late 2013)"
"iMac14,3","iMac (21.5-inch, Late 2013, Dedicated Graphics)"
"iMac14,4","iMac (21.5-inch, Mid 2014)"
"iMac15,1","iMac (Retina 5K, 27-inch, Late 2014) OR iMac (Retina 5K, 27-inch, Mid 2015)"
"iMac16,1","iMac (21.5-inch, Late 2015)"
"iMac16,2","iMac (Retina 4K, 21.5-inch, Late 2015) OR iMac (21.5-inch, Late 2015)"
"iMac17,1","iMac (Retina 5K, 27-inch, Late 2015)"
"iMac18,1","iMac (21.5-inch, 2017)"
"iMac18,2","iMac (Retina 4K, 21.5-inch, 2017)"
"iMac18,3","iMac (Retina 5K, 27-inch, 2017)"
"iMac19,1","iMac (Retina 5K, 27-inch, 2019)"
"iMac19,2","iMac (Retina 4K, 21.5-inch, 2019)"
"iMac20,1","iMac (Retina 5K, 27-inch, 2020)"
"iMac20,2","iMac (Retina 5K, 27-inch, 2020, RX 5700/XT)"
"iMac21,1","iMac (24-inch, M1, 2021, Four Ports)"
"iMac21,2","iMac (24-inch, M1, 2021, Two Ports)"
"iMac4,1","iMac (17-inch, Early 2006) OR iMac (20-inch, Early 2006)"
"iMac4,2","iMac (17-inch, Mid 2006)"
"iMac5,1","iMac (17-inch, Late 2006, Dedicated Graphics) OR iMac (20-inch, Late 2006)"
"iMac5,2","iMac (17-inch, Late 2006, Integrated Graphics)"
"iMac6,1","iMac (24-inch, Late 2006)"
"iMac7,1","iMac (20-inch, Mid 2007) OR iMac (24-inch, Mid 2007)"
"iMac8,1","iMac (20-inch, Early 2008) OR iMac (24-inch, Early 2008)"
"iMac9,1","iMac (20-inch, Early 2009) OR iMac (20-inch, Mid 2009) OR iMac (24-inch, Early 2009)"
"iMacPro1,1","iMac Pro (Retina 5K, 27-inch, Late 2017)"
"iPad1,1","iPad"
"iPad11,1","iPad mini (5th generation) Wi-Fi"
"iPad11,2","iPad mini (5th generation) Wi-Fi + Cellular"
"iPad11,3","iPad Air (3rd generation) Wi-Fi"
"iPad11,4","iPad Air (3rd generation) Wi-Fi + Cellular"
"iPad11,6","iPad (8th generation) Wi-Fi"
"iPad11,7","iPad (8th generation) Wi-Fi + Cellular"
"iPad12,1","iPad (9th generation) Wi-Fi"
"iPad12,2","iPad (9th generation) Wi-Fi + Cellular"
"iPad13,1","iPad Air (4th generation) Wi-Fi"
"iPad13,10","iPad Pro 12.9-inch (5th generation) Wi-Fi + Cellular"
"iPad13,11","iPad Pro 12.9-inch (5th generation) Wi-Fi + Cellular (1 or 2 TB)"
"iPad13,16","iPad Air (5th generation) Wi-Fi"
"iPad13,17","iPad Air (5th generation) Wi-Fi + Cellular"
"iPad13,18","iPad (10th generation) Wi-Fi"
"iPad13,19","iPad (10th generation) Wi-Fi + Cellular"
"iPad13,2","iPad Air (4th generation) Wi-Fi + Cellular"
"iPad13,20","Unreleased iPad"
"iPad13,21","Unreleased iPad"
"iPad13,4","iPad Pro 11-inch (3rd generation) Wi-Fi"
"iPad13,5","iPad Pro 11-inch (3rd generation) Wi-Fi (1 or 2 TB)"
"iPad13,6","iPad Pro 11-inch (3rd generation) Wi-Fi + Cellular"
"iPad13,7","iPad Pro 11-inch (3rd generation) Wi-Fi + Cellular (1 or 2 TB)"
"iPad13,8","iPad Pro 12.9-inch (5th generation) Wi-Fi"
"iPad13,9","iPad Pro 12.9-inch (5th generation) Wi-Fi (1 or 2 TB)"
"iPad14,1","iPad mini (6th generation) Wi-Fi"
"iPad14,10","iPad Air 13-inch (M2) Wi-Fi"
"iPad14,11","iPad Air 13-inch (M2) Wi-Fi + Cellular"
"iPad14,2","iPad mini (6th generation) Wi-Fi + Cellular"
"iPad14,3","iPad Pro 11-inch (4th generation) Wi-Fi"
"iPad14,4","iPad Pro 11-inch (4th generation) Wi-Fi + Cellular"
"iPad14,5","iPad Pro 12.9-inch (6th generation) Wi-Fi"
"iPad14,6","iPad Pro 12.9-inch (6th generation) Wi-Fi + Cellular"
"iPad14,8","iPad Air 11-inch (M2) Wi-Fi"
"iPad14,9","iPad Air 11-inch (M2) Wi-Fi + Cellular"
"iPad15,3","iPad Air 11-inch (M3) Wi-Fi"
"iPad15,4","iPad Air 11-inch (M3) Wi-Fi + Cellular"
"iPad15,5","iPad Air 13-inch (M3) Wi-Fi"
"iPad15,6","iPad Air 13-inch (M3) Wi-Fi + Cellular"
"iPad15,7","iPad (A16) Wi-Fi"
"iPad15,8","iPad (A16) Wi-Fi + Cellular"
"iPad16,1","iPad mini (A17 Pro) Wi-Fi"
"iPad16,2","iPad mini (A17 Pro) Wi-Fi + Cellular"
"iPad16,3","iPad Pro 11-inch (M4) Wi-Fi"
"iPad16,4","iPad Pro 11-inch (M4) Wi-Fi + Cellular"
"iPad16,5","iPad Pro 13-inch (M4) Wi-Fi"
"iPad16,6","iPad Pro 13-inch (M4) Wi-Fi + Cellular"
"iPad17,1","Unreleased iPad"
"iPad17,2","Unreleased iPad"
"iPad17,3","Unreleased iPad"
"iPad17,4","Unreleased iPad"
"iPad2,1","iPad 2 Wi-Fi"
"iPad2,2","iPad 2 Wi-Fi + 3G (GSM)"
"iPad2,3","iPad 2 Wi-Fi + 3G (CDMA)"
"iPad2,4","iPad 2 Wi-Fi (Mid 2012)"
"iPad2,5","iPad mini Wi-Fi"
"iPad2,6","iPad mini Wi-Fi + Cellular"
"iPad2,7","iPad mini Wi-Fi + Cellular (MM)"
"iPad3,1","iPad (3rd generation) Wi-Fi"
"iPad3,2","iPad (3rd generation) Wi-Fi + Cellular (VZ)"
"iPad3,3","iPad (3rd generation) Wi-Fi + Cellular"
"iPad3,4","iPad (4th generation) Wi-Fi"
"iPad3,5","iPad (4th generation) Wi-Fi + Cellular"
"iPad3,6","iPad (4th generation) Wi-Fi + Cellular (MM)"
"iPad4,1","iPad Air Wi-Fi"
"iPad4,2","iPad Air Wi-Fi + Cellular"
"iPad4,3","iPad Air Wi-Fi + Cellular (TD-LTE)"
"iPad4,4","iPad mini 2 Wi-Fi"
"iPad4,5","iPad mini 2 Wi-Fi + Cellular"
"iPad4,6","iPad mini 2 Wi-Fi + Cellular (TD-LTE)"
"iPad4,7","iPad mini 3 Wi-Fi"
"iPad4,8","iPad mini 3 Wi-Fi + Cellular"
"iPad4,9","iPad mini 3 Wi-Fi + Cellular (TD-LTE)"
"iPad5,1","iPad mini 4 Wi-Fi"
"iPad5,2","iPad mini 4 Wi-Fi + Cellular"
"iPad5,3","iPad Air 2 Wi-Fi"
"iPad5,4","iPad Air 2 Wi-Fi + Cellular"
"iPad5,5","Unreleased iPad Pro"
"iPad5,6","Unreleased iPad Pro"
"iPad6,1","Unreleased iPad mini"
"iPad6,11","iPad (5th generation) Wi-Fi"
"iPad6,12","iPad (5th generation) Wi-Fi + Cellular"
"iPad6,2","Unreleased iPad mini"
"iPad6,3","iPad Pro (9.7-inch) Wi-Fi"
"iPad6,4","iPad Pro (9.7-inch) Wi-Fi + Cellular"
"iPad6,7","iPad Pro (12.9-inch) (1st generation) Wi-Fi"
"iPad6,8","iPad Pro (12.9-inch) (1st generation) Wi-Fi + Cellular"
"iPad7,1","iPad Pro (12.9-inch) (2nd generation) Wi-Fi"
"iPad7,11","iPad (7th generation) Wi-Fi"
"iPad7,12","iPad (7th generation) Wi-Fi + Cellular"
"iPad7,2","iPad Pro (12.9-inch) (2nd generation) Wi-Fi + Cellular"
"iPad7,3","iPad Pro (10.5-inch) Wi-Fi"
"iPad7,4","iPad Pro (10.5-inch) Wi-Fi + Cellular"
"iPad7,5","iPad (6th generation) Wi-Fi"
"iPad7,6","iPad (6th generation) Wi-Fi + Cellular"
"iPad8,1","iPad Pro 11-inch (1st generation) Wi-Fi"
"iPad8,10","iPad Pro 11-inch (2nd generation) Wi-Fi + Cellular"
"iPad8,11","iPad Pro 12.9-inch (4th generation) Wi-Fi"
"iPad8,12","iPad Pro 12.9-inch (4th generation) Wi-Fi + Cellular"
"iPad8,2","iPad Pro 11-inch (1st generation) Wi-Fi (1TB)"
"iPad8,3","iPad Pro 11-inch (1st generation) Wi-Fi + Cellular"
"iPad8,4","iPad Pro 11-inch (1st generation) Wi-Fi + Cellular (1TB)"
"iPad8,5","iPad Pro 12.9-inch (3rd generation) Wi-Fi"
"iPad8,6","iPad Pro 12.9-inch (3rd generation) Wi-Fi (1TB)"
"iPad8,7","iPad Pro 12.9-inch (3rd generation) Wi-Fi + Cellular"
"iPad8,8","iPad Pro 12.9-inch (3rd generation) Wi-Fi + Cellular (1TB)"
"iPad8,9","iPad Pro 11-inch (2nd generation) Wi-Fi"
"iPhone1,1","iPhone"
"iPhone1,2","iPhone 3G"
"iPhone10,1","iPhone 8 (CDMA)"
"iPhone10,2","iPhone 8 Plus (CDMA)"
"iPhone10,3","iPhone X (CDMA)"
"iPhone10,4","iPhone 8 (GSM)"
"iPhone10,5","iPhone 8 Plus (GSM)"
"iPhone10,6","iPhone X (GSM)"
"iPhone11,2","iPhone XS"
"iPhone11,4","iPhone XS Max (China mainland)"
"iPhone11,6","iPhone XS Max"
"iPhone11,8","iPhone XR"
"iPhone12,1","iPhone 11"
"iPhone12,3","iPhone 11 Pro"
"iPhone12,5","iPhone 11 Pro Max"
"iPhone12,8","iPhone SE (2nd generation)"
"iPhone13,1","iPhone 12 mini"
"iPhone13,2","iPhone 12"
"iPhone13,3","iPhone 12 Pro"
"iPhone13,4","iPhone 12 Pro Max"
"iPhone14,2","iPhone 13 Pro"
"iPhone14,3","iPhone 13 Pro Max"
"iPhone14,4","iPhone 13 mini"
"iPhone14,5","iPhone 13"
"iPhone14,6","iPhone SE (3rd generation)"
"iPhone14,7","iPhone 14"
"iPhone14,8","iPhone 14 Plus"
"iPhone15,2","iPhone 14 Pro"
"iPhone15,3","iPhone 14 Pro Max"
"iPhone15,4","iPhone 15"
"iPhone15,5","iPhone 15 Plus"
"iPhone16,1","iPhone 15 Pro"
"iPhone16,2","iPhone 15 Pro Max"
"iPhone17,1","iPhone 16 Pro"
"iPhone17,2","iPhone 16 Pro Max"
"iPhone17,3","iPhone 16"
"iPhone17,4","iPhone 16 Plus"
"iPhone17,5","iPhone 16e"
"iPhone2,1","iPhone 3GS"
"iPhone3,1","iPhone 4 (GSM)"
"iPhone3,2","iPhone 4 (GSM, 2012)"
"iPhone3,3","iPhone 4 (CDMA)"
"iPhone4,1","iPhone 4S"
"iPhone5,1","iPhone 5 (GSM)"
"iPhone5,2","iPhone 5 (CDMA)"
"iPhone5,3","iPhone 5c (GSM)"
"iPhone5,4","iPhone 5c (CDMA)"
"iPhone6,1","iPhone 5s (GSM)"
"iPhone6,2","iPhone 5s (CDMA)"
"iPhone7,1","iPhone 6 Plus"
"iPhone7,2","iPhone 6"
"iPhone8,1","iPhone 6s"
"iPhone8,2","iPhone 6s Plus"
"iPhone8,4","iPhone SE (1st generation)"
"iPhone9,1","iPhone 7 (CDMA)"
"iPhone9,2","iPhone 7 Plus (CDMA)"
"iPhone9,3","iPhone 7 (GSM)"
"iPhone9,4","iPhone 7 Plus (GSM)"
"iPod1,1","iPod touch (1st generation)"
"iPod2,1","iPod touch (2nd generation)"
"iPod2,2","Unreleased iPod touch (2nd generation, Rev. A)"
"iPod3,1","iPod touch (3rd generation)"
"iPod4,1","iPod touch (4th generation)"
"iPod4,2","Unreleased iPod touch"
"iPod5,1","iPod touch (5th generation)"
"iPod7,1","iPod touch (6th generation)"
"iPod9,1","iPod touch (7th generation)"
"iProd8,1","AirPods Pro (Right, 1st generation) OR AirPods Pro (Left, 1st generation)"
"iProd8,6","AirPods Max"
"iProd9,4","Network Adapter"
"iSim1,1","Pro Display XDR"
"Pencil1,1","Apple Pencil (1st generation)"
"Pencil2,1","Apple Pencil (2nd generation)"
"VisionPro1,1","Apple Vision Pro (1st generation)"
